Pablo Picasso painted a famous picture depicting which bombed city?,London,Brandenburg,Cartagena,Guernica,9e1475906c65e1f7,
What was the Roman name for London?,Crete,Londonitious,Britannicus,Londinium,8d7038356ee1e3ff,
What do the Shakespearean characters Viola and Rosalind have in common?,Both Are Banished,Each Has A Twin,Both Are From "Twelfth Night",Both Cross-Dress,b5f648095d5cc587,
Which London musical features the song "Tell Me It's Not True"?,Cabaret,Sunset Boulevard,Sister Act,Blood Brothers,abc72274863a7098,
What is the Beaufort scale used to measure?,Barometre Readings,Surf,Volcanic Activity,Wind Intensity,9511125c6d927312,
Who sang "Do You Really Want to Hurt Me?" in the 1980's?,Mike Tyson,Sinead O'Connor,Bon Jovi,Boy George,b9553712a2edc409,
What is the name of Angelina Jolie's eldest son?,Suri,Zahara,Coco,Maddox,84e857877f57b2d4,
Which Italian soccer player died tragically in an accident in January 2002?,Davide Possanzini,Aimo Diana,Dario Hubner,Vittorio Mero,ad4d97c71529afdf,
Which country does the chorizo sausage come from?,Italy,Brazil,Mexico,Spain,950402a7a418e261,
Which Reggae band helped Sean Paul launch his career?,Steel Pulse,UB40,Musical Youth,Third World,9311eb2f55dfbdd4,
Which actress appears in the 50 Cent video "21 Questions"?,Jennifer Love Hewitt,Angelina Jolie,Michelle Trachtenberg,Meagan Good,8d7038356ee1e3ff,
Which family member taught John Legend to play gospel piano at the age of three?,Mother,Sister,Aunt,Grandmother,a76d735ce41574a5,
Salt-n-Pepa's "The Show Stopper" was an answer to what song?,Big Shot,Showtime,The Performer,The Show,907d71fd4c44fced,
What rock star is credited with discovering Van Halen?,Paul McCartney Of The Beatles,Roger Daltrey Of The Who,Mick Jagger Of The Rolling Stones,Gene Simmons Of Kiss,80f29451cc51f6cf,
What kind of animal is the cartoon character "Daffy"?,Hen,Bear,Doodle Bug,Duck,b8fd0bae3ebd00cb,
What line opens the kids' cartoon show "The Wild Thornberrys"?,Hello There,This Is Me Doctor Smith,Goodbye,This Is Me Eliza Thornberry,b2005f5c526a9301,
